No., 5+2, 5+1,   5, 4+2,  4+1,     4,   3+2,    2+2,     3+1,        3,    1+2,     2+1,   2,       Total
225,   0,   0,   1,  13,  217,   373,   850,  10080,   11958,    15924,  60097,  143941,   243454
224,   0,   3,   0,  15,  274,   508,   770,  12364,   10447,    19479,  51541,  160058,   255459
223,   0,   1,   1,  24,  396,   544,  1166,  15419,   16510,    23393,  85259,  215376,   358089
222,   0,   1,   0,  17,  206,   306,   639,   9630,    9943,    14261,  54311,  152995,   242309
221,   0,   1,   5,  15,  183,   311,   737,   9735,   11157,    14607,  62590,  144377,   243718
220,   0,   0,   0,  19,  310,   430,   901,  12384,   12407,    18541,  60690,  165465,   271147
219,   0,   0,   3,  27,  362,   542,  1269,  17324,   17448,    26504,  88892,  242837,   395208
218,   0,   1,   0,  27,  290,   415,   983,  12568,   14333,    17707,  78184,  184318,   308826
217,   0,   0,   0,  22,  280,   416,   809,  11178,   11748,    19424,  60546,  164291,   268714
216,   0,   1,   4,  18,  302,   417,   833,  12154,   11537,    18582,  59218,  163969,   267035
215,   0,   1,   0,  22,  336,   473,  1024,  12176,   12163,    18825,  60237,  154716,   259973
214,   0,   0,   5,  12,  283,   381,   861,  11270,   12793,    17631,  68919,  169668,   281823
213,   0,   1,   2,  22,  182,   380,   753,  10382,   10285,    18278,  51401,  140262,   231948
212,   0,   0,   0,  10,  192,   253,   593,   8666,    8868,    12952,  49469,  131366,   212369
211,   0,   1,   1,  15,  250,   340,   636,  10396,    9518,    15454,  51668,  153690,   241969
210,   0,   2,   1,  22,  231,   353,   797,  11147,   11576,    16032,  60335,  155150,   255646
209,   0,   6,  11,  78, 1306,  1842,  3806,  56957,   55408,    88136, 294019,  842821,  1344390
208,   0,   2,   0,  13,  218,   316,   728,   9771,   11424,    14916,  63175,  149366,   249929
207,   0,   2,   1,  28,  513,   843,  1194,  20670,   17708,    32307,  90405,  284650,   448321
206,   0,   0,   3,  21,  347,   528,  1117,  15316,   17725,    23740,  93107,  234679,   386583
205,   0,   1,   3,  16,  254,   346,   782,  10677,   11421,    15668,  62535,  154328,   256031
204,   0,   0,   1,  13,  203,   264,   740,   9046,   10572,    12651,  56291,  133179,   222960
203,   0,   1,   1,  13,  147,   233,   516,   7970,    7798,    12396,  41709,  117948,   188732
202,   0,   1,   1,  10,  219,   309,   598,  10207,    9171,    14133,  46585,  148498,   229732
201,   0,   1,   0,   8,  190,   266,   553,   8476,    7993,    12201,  43007,  124105,   196800
200,   0,   1,   1,  10,  183,   267,   475,   7339,    7773,    11355,  43216,  114616,   185236
199,   0,   0,   1,  13,  220,   338,   595,   9260,    8773,    14833,  43353,  137265,   214651
198,   0,   0,   0,   8,  214,   323,   625,   9559,    9368,    14591,  49239,  137203,   221130
197,   0,   2,   1,  15,  180,   340,   529,   8131,    7992,    14106,  40941,  117187,   189424
196,   0,   0,   2,  23,  254,   338,   663,  10442,    9598,    13870,  46836,  141799,   223825
195,   0,   2,   3,  20,  191,   382,   678,  10830,    9697,    16417,  50545,  157353,   246118
194,   0,   0,   2,  13,  204,   374,   580,   8908,    8263,    14631,  44429,  128698,   206102
193,   0,   4,   1,  10,  168,   259,   486,   8363,    7985,    12025,  43205,  128664,   201170
192,   0,   1,   2,  16,  220,   293,   594,   9328,    8495,    13061,  46040,  129461,   207511
191,   0,   1,   1,  19,  233,   363,   930,  10625,   12126,    14760,  59987,  150609,   249654
190,   0,   6,   7,  62,  812,  1162,  2917,  39788,   40607,    56346, 214554,  601318,   957579
189,   0,   2,   1,   8,  162,   262,   573,   8247,    8683,    12494,  47570,  126617,   204619
188,   0,   1,   1,  23,  261,   331,   653,  10717,    9361,    14830,  44701,  138974,   219853
187,   0,   1,   2,  11,  140,   221,   570,   7269,    8827,    10323,  51844,  114565,   193773
186,   1,   1,   0,  18,  294,   362,   768,  11722,   10096,    15667,  49975,  155165,   244069
185,   0,   1,   1,  12,  149,   212,   517,   8205,    7769,    11269,  41725,  126381,   196241
184,   0,   1,   1,  11,  155,   257,   483,   8242,    6934,    11820,  36887,  120878,   185669
183,   1,   0,   5,  11,  182,   247,   649,   8514,   10074,    12867,  59968,  132190,   224708
182,   0,   0,   1,  14,  165,   281,   509,   7650,    7908,    11851,  42722,  119060,   190161
181,   0,   1,   0,  11,  148,   265,   476,   7650,    7052,    11327,  37309,  117968,   182207
180,   0,   1,   2,  10,  179,   264,   562,   7504,    8203,    11995,  43431,  108220,   180371
179,   0,   1,   2,  17,  245,   364,   871,  11011,   11949,    16090,  61200,  161697,   263447
178,   0,   2,   1,   9,  206,   295,   527,   8810,    7667,    13697,  40488,  130390,   202092
177,   0,   0,   4,   8,  182,   326,   517,   8395,    7643,    12874,  39992,  116654,   186595
176,   0,   1,   0,  13,  196,   250,   537,   8249,    7269,    11949,  36172,  114254,   178890
175,   0,   0,   1,  23,  246,   351,   648,   9580,    8388,    14540,  43532,  120582,   197891
174,   0,   1,   1,   7,  138,   229,   562,   6831,    7624,    11262,  41749,   97305,   165709
173,   0,   0,   0,   4,  133,   233,   460,   6584,    6562,     9773,  35866,   96046,   155661
172,   0,   0,   1,  11,  152,   227,   467,   6629,    6237,    10325,  33723,  101035,   158807
171,   0,   0,   0,  11,  113,   197,   489,   5962,    7557,     9552,  41351,   93541,   158773
170,   0,   1,   1,  22,  228,   418,   904,  10616,   11673,    16563,  58545,  145213,   244184
169,   0,   0,   0,  12,  162,   281,   573,   7753,    7916,    11643,  44440,  116844,   189624
168,   0,   1,   4,  13,  216,   354,   478,   9323,    6833,    14665,  36009,  122734,   190630
167,   0,   0,   0,  17,  140,   234,   615,   6420,    8974,     9551,  50882,   95024,   171857
166,   0,   1,   1,  15,  166,   223,   682,   7063,   10525,     9915,  55599,  104921,   189111
165,   0,   0,   1,  12,  147,   228,   522,   7370,    7992,    10833,  44354,  112042,   183501
164,   0,   0,   0,   7,  151,   229,   402,   6808,    6503,    11086,  35301,  102132,   162619
163,   0,   1,   2,   7,  163,   251,   534,   8254,    8531,    11992,  45713,  123242,   198690
162,   0,   0,   1,  15,  180,   252,   664,   7634,    8970,    11435,  46276,  113090,   188517
161,   0,   0,   2,   8,  131,   222,   429,   6433,    6767,    10191,  37396,  103530,   165109
160,   0,   2,   1,   9,  186,   291,   644,   8090,    9537,    12065,  52379,  120884,   204088
159,   0,   3,   3,  26,  255,   352,   976,  10435,   11726,    13683,  55240,  139244,   231943
158,   0,   2,   0,  13,  193,   271,   517,   8366,    7510,    12595,  39431,  119098,   187996
157,   0,   4,   3,  34,  474,   675,  1555,  20443,   22268,    32023, 116705,  281155,   475339
156,   0,   1,   2,  23,  254,   602,   639,   9342,    9266,    16477,  47855,  127171,   211632
155,   0,   1,   1,  18,  199,   308,   672,   8975,    9514,    14796,  47423,  126148,   208055
154,   0,   0,   2,   8,  206,   311,   533,   8085,    8243,    12287,  43560,  117828,   191063
153,   0,   0,   2,  33,  281,   424,  1063,  11733,   12494,    15980,  58132,  148003,   248145
152,   0,   0,   4,  17,  308,   418,   907,  13492,   12281,    18787,  64149,  191232,   301595
151,   0,   1,   2,  17,  241,   336,   745,  11443,   10998,    16219,  57046,  168072,   265120
150,   0,   0,   1,  14,  224,   392,   669,  11382,    9276,    16469,  48256,  157656,   244339
149,   0,   0,   2,  10,  213,   285,   804,   8730,   11672,    12918,  61473,  119903,   216010
148,   0,   0,   0,   9,  170,   270,   472,   7484,    6823,    12076,  36824,  113455,   177583
147,   0,   0,   1,  18,  176,   257,   564,   8204,    8924,    12054,  48448,  116223,   194869
146,   1,   1,   0,  14,  244,   320,   653,   9743,    9621,    13898,  49388,  137208,   221091
145,   0,   7,  16,  99, 1165,  1824,  3885,  51772,   54510,    77971, 281252,  725219,  1197720
144,   0,   5,   6,  50, 1134,  1625,  2658,  46038,   35977,    64270, 186083,  615814,   953660
143,   0,   1,   4,  40,  612,   949,  1977,  27412,   27818,    40170, 144790,  400833,   644606
142,   0,   2,   0,  40,  508,   769,  1431,  23279,   20895,    33738, 107035,  339980,   527677
141,   0,   1,   4,  26,  354,   571,  1155,  17375,   17011,    26079,  91258,  251140,   404974
140,   0,   1,   2,  16,  227,   363,   831,  11307,   12832,    16326,  76188,  170373,   288466
139,   0,   4,   8,  21,  436,   565,   699,  13390,    9363,    19510,  49970,  171443,   265409
138,   0,   0,   2,  14,  228,   427,   706,   9760,    9052,    15133,  47037,  120952,   203311
137,   0,   2,   0,  14,  168,   256,   481,   6797,    7142,    10090,  39263,   98726,   162939
136,   0,   1,   2,   8,  147,   223,   454,   6963,    6364,    10658,  33542,   96623,   154985
135,   0,   1,   0,   7,  135,   175,   404,   5924,    5872,     8943,  30635,   90357,   142453
134,   0,   0,   2,   8,  158,   223,   400,   6464,    5887,    10351,  29953,   92272,   145718
133,   0,   2,   0,  14,  145,   244,   528,   8185,    7773,    11586,  41545,  114688,   184710
132,   0,   1,   1,   6,  139,   199,   419,   6652,    6170,     9976,  32569,  100272,   156404
131,   0,   0,   0,  10,  142,   205,   503,   6450,    7504,     9334,  40558,   96759,   161465
130,   0,   1,   0,  14,  128,   184,   539,   5961,    8201,     9116,  46544,   89728,   160416
129,   0,   0,   1,   7,  194,   279,   458,   7504,    6059,    11449,  30184,  101409,   157544
128,   0,   0,   4,  12,  144,   207,   402,   6753,    5831,    10072,  30416,   90983,   144824
127,   0,   0,   1,  13,  128,   239,   517,   6403,    7768,    10989,  40947,   94536,   161541
126,   0,   1,   1,  21,  259,   375,   895,  12100,   14500,    16298,  75565,  177841,   297856
125,   0,   1,   3,   9,  184,   257,   597,   9031,    8517,    13525,  45405,  140266,   217795
124,   0,   0,   0,  13,  167,   277,   581,   7736,    8354,    12059,  43056,  110085,   182328
123,   0,   2,   1,  12,  142,   181,   458,   6402,    6279,     9561,  34225,   90840,   148103
122,   0,   1,   1,  13,  140,   243,   480,   6386,    7031,     9927,  37549,   90392,   152163
121,   0,   2,   1,   7,  111,   165,   423,   5476,    6079,     8791,  35140,   81576,   137771
120,   0,   1,   2,   8,  127,   187,   547,   5780,    8348,     8648,  46691,   86683,   157022
119,   1,   1,   0,   7,  133,   183,   457,   6058,    6907,     8618,  38631,   91479,   152475
118,   0,   0,   2,  23,  168,   283,   539,   7415,    7651,    10549,  38211,  104352,   169193
117,   0,   1,   2,  14,  138,   238,   445,   6573,    6410,    10969,  33411,   95273,   153474
116,   0,   1,   0,  20,  237,   262,   771,   8666,    9571,    11451,  47292,  116941,   195212
115,   0,   0,   0,  13,  144,   190,   419,   6187,    7003,     9936,  37024,   90859,   151775
114,   1,   0,   1,   8,  158,   224,   465,   5944,    7253,     9214,  42645,   94860,   160773
113,   0,   0,   3,  16,  170,   266,   571,   8312,    7744,    11698,  39654,  121166,   189600
112,   0,   1,   1,  20,  293,   395,   759,  11675,   10254,    17126,  54403,  162024,   256951
111,   0,   3,   0,  12,  204,   288,   707,   9066,   10237,    13570,  56401,  134498,   224986
110,   0,   0,   0,  16,  185,   237,   582,   7817,    8317,    11943,  46679,  119998,   195774
109,   0,   0,   0,  14,  153,   217,   448,   6990,    7325,    10700,  42542,  102166,   170555
108,   0,   1,   1,  36,  225,   285,  1082,   9572,   11546,    12831,  50245,  129802,   215626
107,   0,   0,   1,  23,  207,   327,   807,   8537,   12137,    12920,  60192,  122227,   217378
106,   0,   0,   0,  14,  203,   312,   680,   9105,    9854,    12718,  47409,  129896,   210191
105,   0,   2,   2,  13,  171,   266,   537,   8289,    8194,    12288,  45807,  128535,   204104
104,   0,   7,   7,  86, 1290,  1956,  3992,  61948,   59687,    92645, 321317,  910681,  1453616
103,   0,   7,   5,  65, 1030,  1731,  3284,  50034,   49486,    77082, 268469,  740102,  1191295
102,   0,   7,   7,  43,  673,  1069,  2211,  30735,   33815,    47106, 183386,  461254,   760306
101,   0,   2,   3,  31,  451,   679,  1443,  19680,   20788,    31908, 107391,  279107,   461483
100,   0,   3,   6,  25,  401,   595,  1008,  15235,   13877,    22752,  70436,  208640,   332978
 99,   0,   2,   1,  13,  223,   344,   690,  11009,   10351,    17087,  54505,  162280,   256505
 98,   0,   1,   1,  13,  209,   300,   616,   9460,    9007,    14794,  49315,  135875,   219591
 97,   0,   2,   1,  10,  153,   251,   433,   7341,    6882,    10897,  35903,  109798,   171671
 96,   0,   1,   0,   6,  121,   218,   405,   6246,    6121,     9586,  32169,   90476,   145349
 95,   0,   0,   0,   9,  143,   218,   423,   5623,    6309,     8309,  32672,   78192,   131898
 94,   0,   0,   1,  12,  112,   135,   410,   4491,    5586,     7141,  26691,   66748,   111327
 93,   0,   0,   0,   4,   92,   127,   297,   4207,    3774,     6436,  21550,   66294,   102781
 92,   0,   1,   0,   7,  113,   163,   430,   5362,    6570,     8010,  37930,   85847,   144433
 91,   0,   0,   1,   2,   92,   167,   319,   4645,    5336,     6940,  28577,   69482,   115561
 90,   0,   0,   0,   6,   94,   137,   315,   4569,    5134,     6707,  29604,   67755,   114321
 89,   0,   0,   2,   8,  126,   182,   335,   5086,    4453,     8181,  22444,   70036,   110853
 88,   1,   0,   5,  11,  147,   269,   426,   5915,    5685,    10460,  27811,   80850,   131580
 87,   0,   0,   2,   9,  134,   200,   393,   5976,    5507,     9005,  27800,   79053,   128079
 86,   3,   0,   0,   8,  123,   151,   360,   4860,    6125,     7628,  27705,   72481,   119444
 85,   0,   1,   0,   4,   82,   144,   351,   4546,    5545,     7307,  31746,   72148,   121874
 84,   0,   1,   0,  17,  278,   400,   751,  11744,   10815,    17583,  53502,  158510,   253601
 83,   0,   0,   2,  14,  216,   321,   526,   9211,    8169,    13781,  42405,  131671,   206316
 82,   0,   0,   0,   8,  121,   217,   409,   6620,    7043,    10250,  38338,  101746,   164752
 81,   0,   1,   2,   7,  101,   160,   315,   4673,    4833,     7556,  27960,   71649,   117257
 80,   0,   0,   0,   6,  114,   184,   360,   5278,    5004,     8089,  25193,   73776,   118004
 79,   0,   0,   0,   8,  118,   163,   323,   4883,    4957,     7345,  26904,   72884,   117585
 78,   0,   0,   2,  14,  167,   256,   474,   6150,    6715,    10114,  32035,   82364,   138291
 77,   0,   0,   3,  30,  478,   684,  1533,  22256,   22694,    32590, 122274,  341289,   543831
 76,   0,   2,   4,  15,  300,   439,   966,  13620,   14055,    20624,  77882,  208896,   336803
 75,   0,   2,   6,  17,  293,   471,   988,  15254,   14602,    23415,  74736,  213036,   342820
 74,   0,   0,   0,  14,  186,   285,   647,   8438,   10035,    12620,  56394,  128248,   216867
 73,   0,   0,   2,  10,  200,   263,   610,   8526,    7565,    11454,  38253,  114831,   181714
 72,   0,   0,   1,   3,   96,   120,   282,   4210,    4429,     6133,  19595,   64573,    99442
 71,   0,   0,   2,   8,  144,   224,   325,   5309,    4221,     8706,  21488,   67197,   107624
 70,   0,   1,   0,   8,   79,   105,   292,   3907,    3520,     5442,  18957,   53390,    85701
 69,   0,   1,   1,   9,   71,   139,   243,   3552,    3263,     5536,  16997,   49290,    79102
 68,   0,   0,   0,   3,   49,    78,   165,   2292,    2727,     3493,  16300,   36497,    61604
 67,   0,   0,   0,   6,  120,   182,   423,   5516,    6221,     8061,  30781,   73037,   124347
 66,   0,   0,   0,   4,   64,    90,   244,   3418,    3483,     5141,  19178,   51611,    83233
 65,   0,   1,   1,   5,  106,   193,   223,   3826,    3302,     6398,  15834,   50223,    80112
 64,   0,   0,   0,   1,   50,    70,   146,   2340,    2174,     4030,  11691,   34551,    55053
 63,   0,   0,   0,   2,   73,   124,   253,   3818,    4044,     5467,  20151,   52750,    86682
 62,   0,   0,   0,  10,   86,   112,   211,   3282,    3035,     5260,  16261,   46034,    74291
 61,   0,   2,   1,  16,  272,   421,   743,  11382,   10397,    17697,  51560,  156398,   248889
 60,   0,   0,   0,   7,  102,   139,   364,   4640,    6343,     6676,  36931,   71039,   126241
 59,   0,   2,   0,   3,   62,   102,   253,   3762,    3860,     5604,  21129,   58278,    93055
 58,   0,   0,   0,   5,   55,    83,   217,   2884,    3537,     4079,  19958,   43582,    74400
 57,   0,   0,   1,   4,   50,    78,   153,   2314,    2039,     3963,  11030,   33594,    53226
 56,   0,   0,   0,   2,   31,    49,   108,   1904,    1793,     2686,   9885,   27518,    43976
 55,   0,   0,   1,   2,   62,    79,   167,   2154,    2197,     3412,  10987,   29059,    48120
 54,   0,   0,   0,   2,   43,    42,    97,   1874,    1597,     2938,   8595,   28936,    44124
 53,   0,   0,   0,   8,   65,   101,   243,   3362,    3897,     4927,  21134,   49944,    83681
 52,   0,   0,   0,   3,   52,    72,   148,   2535,    2064,     3612,  11279,   35642,    55407
 51,   0,   0,   0,   6,   53,    65,   183,   2255,    2771,     2630,  13937,   31078,    52978
 50,   0,   1,   0,   6,   80,    93,   243,   2459,    2830,     3586,  13708,   31432,    54438
 49,   0,   0,   0,  10,   88,   148,   197,   2983,    2182,     5224,   9798,   35717,    56347
 48,   0,   0,   0,   2,   46,    59,   126,   2237,    1698,     2764,   8475,   29822,    45229
 47,   0,   1,   0,   1,   41,    62,   101,   2052,    1669,     3010,   8683,   30780,    46400
 46,   0,   0,   0,   5,   47,    96,   158,   2867,    2553,     3875,  12847,   40996,    63444
 45,   0,   0,   0,   4,   50,    75,   177,   2311,    2415,     3541,  12415,   35732,    56720
 44,   0,   0,   0,   1,   43,    84,   186,   2354,    2495,     3653,  13191,   32776,    54783
 43,   0,   1,   1,   4,   38,    61,   126,   2005,    2153,     3063,  12032,   32934,    52418
 42,   0,   2,   0,   1,   84,   147,   246,   3748,    3771,     5885,  20123,   56479,    90486
 41,   0,   0,   0,   5,   48,    85,   177,   2419,    2971,     3657,  15954,   37065,    62381
 40,   0,   1,   0,   2,   51,    78,   168,   2262,    2164,     3525,  10594,   31258,    50103
 39,   0,   0,   0,   1,   47,    55,   123,   1710,    1760,     2721,   9510,   26278,    42205
 38,   0,   0,   0,   3,   20,    43,   125,   1527,    1886,     2426,  10899,   25099,    42028
 37,   0,   0,   0,   2,   47,    63,   150,   2114,    2344,     3151,  12365,   32087,    52323
 36,   0,   1,   0,   3,   52,    63,   202,   2135,    2768,     2938,  14022,   30709,    52893
 35,   0,   0,   0,   0,   40,    70,   129,   2028,    2202,     3311,  11431,   29474,    48685
 34,   0,   0,   0,   2,   56,   103,   208,   2924,    2991,     4219,  16239,   46787,    73529
 33,   0,   0,   0,   6,   30,    49,    98,   1890,    1843,     2940,   9833,   29102,    45791
 32,   0,   0,   1,   5,   68,    96,   203,   2302,    2693,     3254,  13791,   30820,    53233
 31,   0,   0,   0,   3,   21,    38,   133,   1659,    2337,     2225,  12370,   26569,    45355
 30,   0,   0,   1,   2,   32,    46,   106,   1875,    1572,     2700,   8317,   27325,    41976
 29,   0,   0,   0,   4,   52,   113,   156,   2107,    2098,     3956,   9775,   27324,    45585
 28,   0,   0,   0,   1,   44,    59,   129,   2100,    1907,     3132,   9211,   28536,    45119
 27,   0,   0,   0,   5,   28,    47,   107,   1429,    1957,     2091,  11717,   23407,    40788
 26,   0,   0,   0,   3,   55,    71,   151,   2480,    2025,     3073,  10719,   33458,    52035
 25,   0,   0,   0,   3,   38,    43,   119,   1835,    1665,     3021,   9138,   25288,    41150
 24,   0,   0,   1,   9,   53,    95,   180,   2214,    2258,     3454,  10962,   30461,    49687
 23,   0,   0,   1,   5,   40,    55,   144,   1680,    2045,     2337,  12112,   25929,    44348
 22,   0,   0,   0,   5,   65,   136,   152,   2856,    1923,     4621,   9577,   36019,    55354
 21,   0,   0,   1,   6,   42,   102,   126,   2113,    1793,     3784,   9201,   29714,    46882
 20,   0,   0,   0,   3,   33,    71,   103,   2037,    1610,     3567,   8230,   28858,    44512
 19,   0,   0,   0,   6,   42,    65,   173,   1928,    2300,     2880,  12002,   29476,    48872
 18,   0,   0,   2,   6,   52,    74,   150,   2557,    2178,     3667,  10825,   35250,    54761
 17,   0,   0,   0,   4,   28,    54,   193,   1900,    2986,     2725,  18286,   29175,    55351
 16,   0,   0,   0,   8,   57,    77,   156,   2546,    2528,     3669,  13505,   40046,    62592
 15,   0,   0,   0,   5,   49,    77,   241,   2906,    3481,     4250,  18739,   40544,    70292
 14,   0,   0,   1,   4,   83,   114,   313,   4343,    4583,     6874,  24431,   62416,   103162
 13,   0,   0,   1,   7,  102,   169,   330,   4640,    4433,     7215,  22994,   65081,   104972
 12,   0,   0,   1,   5,  119,   151,   276,   4457,    3495,     6052,  17038,   56037,    87631
 11,   0,   0,   1,   2,   46,    72,   181,   2439,    2944,     3577,  16435,   36845,    62542
